# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.013518 seconds
# 2424.002837 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
   350	   157.13866	     1.85514
   400	   111.27548	     1.37844
   450	    90.19077	     1.11223
   500	    69.76475	     0.89275
   550	    52.59310	     0.70983
   600	    39.96194	     0.57461
   650	    31.75195	     0.46959
   700	    25.59199	     0.39627
   750	    22.40935	     0.34668
   800	    17.29940	     0.28737
   850	    15.60801	     0.25944
   900	    13.46350	     0.22461
   950	     9.32508	     0.18008
  1000	     8.19898	     0.16094
  1050	     6.35570	     0.13528
  1100	     6.27319	     0.12698
  1150	     5.35450	     0.11334
  1200	     4.74149	     0.10248
  1250	     4.39775	     0.09468
  1300	     3.13068	     0.07624
  1350	     2.70811	     0.06876
  1400	     2.89103	     0.06862
  1450	     2.38929	     0.06011
  1500	     2.23028	     0.05640
  1550	     1.68179	     0.04751
  1600	     1.66867	     0.04650
  1650	     1.62598	     0.04350
  1700	     1.25735	     0.03727
  1750	     1.22582	     0.03608
  1800	     1.09881	     0.03302
  1850	     0.85115	     0.02855
  1900	     0.78056	     0.02640
  1950	     0.84144	     0.02667
  2000	     0.76968	     0.02471
  2050	     0.55414	     0.02079
  2100	     0.58350	     0.02042
  2150	     0.48463	     0.01799
  2200	     0.41591	     0.01657
  2250	     0.40411	     0.01603
  2300	     0.39585	     0.01558
  2350	     0.36625	     0.01450
  2400	     0.32974	     0.01356
  2450	     0.28799	     0.01244
  2500	     0.27740	     0.01180
  2550	     0.25303	     0.01085
  2600	     0.26852	     0.01116
  2650	     0.25559	     0.01078
  2700	     0.22120	     0.00973
  2750	     0.17122	     0.00847
  2800	     0.14471	     0.00770
  2850	     0.19461	     0.00867
  2900	     0.12358	     0.00690
  2950	     0.17445	     0.00789
  3000	     0.19118	     0.00809
  3050	     0.16445	     0.00753
  3100	     0.12036	     0.00628
  3150	     0.10247	     0.00567
  3200	     0.09141	     0.00520
  3250	     0.10388	     0.00548
  3300	     0.11627	     0.00580
  3350	     0.10912	     0.00550
  3400	     0.11109	     0.00553
  3450	     0.10111	     0.00524
  3500	     0.08745	     0.00477
  3550	     0.05075	     0.00346
  3600	     0.09516	     0.00475
  3650	     0.08311	     0.00439
  3700	     0.07994	     0.00427
  3750	     0.06172	     0.00376
  3800	     0.05888	     0.00359
  3850	     0.06810	     0.00379
  3900	     0.07326	     0.00384
  3950	     0.05138	     0.00323
  4000	     0.05667	     0.00332
  4050	     0.04103	     0.00274
  4100	     0.05453	     0.00324
  4150	     0.04407	     0.00280
  4200	     0.04264	     0.00277
  4250	     0.03753	     0.00255
  4300	     0.04313	     0.00277
  4350	     0.03948	     0.00253
  4400	     0.04116	     0.00256
  4450	     0.03203	     0.00226
  4500	     0.03036	     0.00212
  4550	     0.03475	     0.00236
  4600	     0.03388	     0.00222
  4650	     0.04009	     0.00240
  4700	     0.03305	     0.00211
  4750	     0.02504	     0.00188
  4800	     0.02191	     0.00173
  4850	     0.02699	     0.00188
  4900	     0.02697	     0.00183
  4950	     0.02066	     0.00160
# extra	     0.20134
# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.013988 seconds
# 2342.538994 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	877814.71875	        -nan
    50	  4677.29339	    50.08835
   100	  1754.06142	    18.35556
   150	   903.65522	     9.44168
   200	   538.57219	     5.67424
   250	   326.99317	     3.64530
   300	   220.12198	     2.49548
   350	   157.53741	     1.85665
   400	   110.69541	     1.37551
   450	    89.94542	     1.11094
   500	    70.19091	     0.89436
   550	    52.75414	     0.71079
   600	    39.92934	     0.57430
   650	    31.60204	     0.46859
   700	    25.60793	     0.39632
   750	    22.51746	     0.34734
   800	    17.35028	     0.28777
   850	    15.61289	     0.25917
   900	    13.44358	     0.22440
   950	     9.31587	     0.17990
  1000	     8.21079	     0.16095
  1050	     6.41208	     0.13578
  1100	     6.24636	     0.12675
  1150	     5.34260	     0.11325
  1200	     4.76267	     0.10271
  1250	     4.41632	     0.09492
  1300	     3.17129	     0.07680
  1350	     2.73704	     0.06914
  1400	     2.87357	     0.06843
  1450	     2.39543	     0.06019
  1500	     2.23072	     0.05640
  1550	     1.66640	     0.04727
  1600	     1.66833	     0.04647
  1650	     1.60866	     0.04327
  1700	     1.26917	     0.03741
  1750	     1.23165	     0.03615
  1800	     1.08339	     0.03279
  1850	     0.84124	     0.02834
  1900	     0.76940	     0.02620
  1950	     0.84416	     0.02675
  2000	     0.76543	     0.02466
  2050	     0.55483	     0.02079
  2100	     0.57437	     0.02025
  2150	     0.48344	     0.01798
  2200	     0.40939	     0.01644
  2250	     0.40416	     0.01600
  2300	     0.39670	     0.01559
  2350	     0.37288	     0.01461
  2400	     0.33226	     0.01362
  2450	     0.28983	     0.01249
  2500	     0.27819	     0.01181
  2550	     0.25406	     0.01087
  2600	     0.26448	     0.01107
  2650	     0.25637	     0.01080
  2700	     0.22229	     0.00975
  2750	     0.17560	     0.00858
  2800	     0.14291	     0.00765
  2850	     0.19368	     0.00866
  2900	     0.12877	     0.00704
  2950	     0.17571	     0.00792
  3000	     0.19087	     0.00808
  3050	     0.16573	     0.00755
  3100	     0.11829	     0.00623
  3150	     0.10212	     0.00566
  3200	     0.09200	     0.00522
  3250	     0.10243	     0.00543
  3300	     0.11570	     0.00579
  3350	     0.10874	     0.00548
  3400	     0.11186	     0.00555
  3450	     0.10166	     0.00525
  3500	     0.08708	     0.00476
  3550	     0.05132	     0.00348
  3600	     0.09560	     0.00477
  3650	     0.08402	     0.00441
  3700	     0.07978	     0.00427
  3750	     0.06162	     0.00376
  3800	     0.05915	     0.00360
  3850	     0.06721	     0.00377
  3900	     0.07313	     0.00384
  3950	     0.05150	     0.00323
  4000	     0.05833	     0.00337
  4050	     0.04163	     0.00276
  4100	     0.05484	     0.00324
  4150	     0.04488	     0.00282
  4200	     0.04228	     0.00277
  4250	     0.03843	     0.00258
  4300	     0.04155	     0.00271
  4350	     0.03854	     0.00250
  4400	     0.04082	     0.00255
  4450	     0.03200	     0.00225
  4500	     0.03047	     0.00213
  4550	     0.03572	     0.00240
  4600	     0.03491	     0.00225
  4650	     0.03962	     0.00238
  4700	     0.03357	     0.00213
  4750	     0.02478	     0.00187
  4800	     0.02138	     0.00171
  4850	     0.02686	     0.00188
  4900	     0.02595	     0.00179
  4950	     0.02120	     0.00162
# extra	     0.20121
# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.011297 seconds
# 2900.473949 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	877873.12500	        -nan
    50	  4691.40988	    50.13084
   100	  1752.51270	    18.35696
   150	   904.99947	     9.44558
   200	   540.68526	     5.68047
   250	   325.34147	     3.63814
   300	   219.14044	     2.49081
   350	   157.88759	     1.85842
   400	   111.33583	     1.37872
   450	    90.47247	     1.11351
   500	    69.80425	     0.89284
   550	    52.68923	     0.71037
   600	    40.01510	     0.57492
   650	    31.66915	     0.46890
   700	    25.58163	     0.39595
   750	    22.41059	     0.34663
   800	    17.23603	     0.28680
   850	    15.61175	     0.25929
   900	    13.43254	     0.22432
   950	     9.34669	     0.18022
  1000	     8.18702	     0.16078
  1050	     6.35689	     0.13530
  1100	     6.27002	     0.12694
  1150	     5.34128	     0.11320
  1200	     4.74904	     0.10252
  1250	     4.42169	     0.09495
  1300	     3.13068	     0.07624
  1350	     2.69962	     0.06864
  1400	     2.90079	     0.06868
  1450	     2.36628	     0.05982
  1500	     2.22492	     0.05636
  1550	     1.67660	     0.04741
  1600	     1.66867	     0.04650
  1650	     1.62598	     0.04350
  1700	     1.25091	     0.03716
  1750	     1.23272	     0.03615
  1800	     1.09543	     0.03297
  1850	     0.85035	     0.02852
  1900	     0.77623	     0.02632
  1950	     0.84518	     0.02674
  2000	     0.76161	     0.02457
  2050	     0.55414	     0.02079
  2100	     0.57982	     0.02036
  2150	     0.48463	     0.01799
  2200	     0.41591	     0.01657
  2250	     0.40623	     0.01607
  2300	     0.39830	     0.01562
  2350	     0.36674	     0.01450
  2400	     0.33049	     0.01358
  2450	     0.28740	     0.01243
  2500	     0.27740	     0.01180
  2550	     0.25303	     0.01085
  2600	     0.26852	     0.01116
  2650	     0.25559	     0.01078
  2700	     0.22120	     0.00973
  2750	     0.17471	     0.00854
  2800	     0.14471	     0.00770
  2850	     0.19564	     0.00868
  2900	     0.12358	     0.00690
  2950	     0.17445	     0.00789
  3000	     0.19118	     0.00809
  3050	     0.16445	     0.00753
  3100	     0.12036	     0.00628
  3150	     0.10247	     0.00567
  3200	     0.09229	     0.00521
  3250	     0.10388	     0.00548
  3300	     0.11627	     0.00580
