# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.034648 seconds
# 945.734309 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
  3600	     0.07521	     0.00426
  3650	     0.07328	     0.00418
  3700	     0.07231	     0.00410
  3750	     0.07010	     0.00394
  3800	     0.06858	     0.00383
  3850	     0.06015	     0.00354
  3900	     0.06146	     0.00353
  3950	     0.06289	     0.00355
  4000	     0.05123	     0.00315
  4050	     0.05271	     0.00320
  4100	     0.04914	     0.00300
  4150	     0.03989	     0.00265
  4200	     0.04372	     0.00276
  4250	     0.04507	     0.00281
  4300	     0.04109	     0.00261
  4350	     0.03414	     0.00238
  4400	     0.03731	     0.00245
  4450	     0.03743	     0.00241
  4500	     0.03531	     0.00233
  4550	     0.03683	     0.00237
  4600	     0.03035	     0.00211
  4650	     0.02907	     0.00201
  4700	     0.02741	     0.00196
  4750	     0.03174	     0.00211
  4800	     0.02918	     0.00196
  4850	     0.02589	     0.00186
  4900	     0.02703	     0.00185
  4950	     0.03035	     0.00198
# extra	     0.20070
# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.035771 seconds
# 916.044012 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	878343.65625	        -nan
    50	  4633.04632	    49.87405
   100	  1787.90394	    18.48622
   150	   899.62373	     9.35725
   200	   522.70586	     5.55272
   250	   335.55636	     3.64993
   300	   227.41226	     2.55006
   350	   156.66329	     1.84322
   400	   117.46560	     1.41573
   450	    90.42388	     1.11125
   500	    67.36243	     0.87716
   550	    51.01265	     0.69970
   600	    40.45724	     0.57459
   650	    32.21588	     0.47517
   700	    26.31326	     0.40316
   750	    21.11336	     0.33624
   800	    17.64846	     0.29032
   850	    14.70237	     0.25047
   900	    12.03885	     0.21519
   950	    10.08086	     0.18662
  1000	     8.63474	     0.16375
  1050	     7.27509	     0.14417
  1100	     6.15206	     0.12654
  1150	     5.21510	     0.11173
  1200	     4.51968	     0.09989
  1250	     3.94277	     0.08979
  1300	     3.51911	     0.08170
  1350	     3.00902	     0.07282
  1400	     2.73512	     0.06692
  1450	     2.27609	     0.05875
  1500	     2.07244	     0.05471
  1550	     1.76412	     0.04850
  1600	     1.57290	     0.04451
  1650	     1.44489	     0.04126
  1700	     1.32926	     0.03842
  1750	     1.15053	     0.03464
  1800	     1.06548	     0.03251
  1850	     0.95668	     0.02992
  1900	     0.78651	     0.02644
